landmark_name, x, y, z,location_id
DPLm1,24914.7,16179.1,50400,24827312
DPLm1,80415.6,19513,61750,24827392
DPLm2,23926.7,16324.8,48800,24827313
DPLm2,82190.2,19839.8,61700,24827393
DPLp,18620.9,22156.8,59050,24827314
DPLp,85754.6,27181.4,68100,24827394
DPMl12,36749.8,20932.3,47500,24827315
DPMl12,68216.6,24592.7,55800,24827395
DPMl_ant_dor,39322.4,18620,35900,24827316
DPMl_ant_dor,67970.6,22140.7,48100,24827396
DPMm1,44782.1,22774.3,30000,24827317
DPMm1,65658.3,25545.6,36750,24827397
DPMm2,40179.3,21255.3,43500,24827318
DPMm2,65915.6,25726.5,50600,24827398
DPMpl12,38653.6,20390.8,44600,24827319
DPMpl12,65427.4,26157,56500,24827399
DPMpm1,41359.2,22108.4,39350,24827320
DPMpm1,65296.7,26385.8,48100,24827400
DPMpm2,38761.9,21483.3,44300,24827321
DPMpm2,63106.6,27090.4,55950,24827401
TRdl ant,30474.1,66179.9,38400,24827322
TRdl ant,75808.48,67986.56,39550,24827402
TRdl post,30590,65774.2,40000,24827323
TRdl post,77778.4,67524.1,41500,24827403
MB Vertical Lobe Tip,82110.4,21173.6,43650,24837926
MB Vertical Lobe Tip,27831.2,21177.4,29200,24837927
MB Vertical / Medial Lobe Intersection,78113.8,34286.4,41800,24837928
MB Vertical / Medial Lobe Intersection,30999.4,31113.8,33050,24837929
DALv1 Branch Point,31888.7,34169.6,50350,24837944
DALv1 Branch Point,73463.5,39784.1,54550,24837950
BAmv12 and BAmas12 Closest Point,36027.8,51919.4,38050,24837987
BAmv12 and BAmas12 Closest Point,69171.4,52852.3,39750,24838012
BAmv12 and BAla34 Closest Point,36297.6,53059.4,49900,24838015
BAmv12 and BAla34 Closest Point,69320,57168.3,52000,24838017
DALd/DALcl12 and MB Peduncle Closest Point,26356.166,32532.434,36550,24838018
DALd/DALcl12 and MB Peduncle Closest Point,80761.4,35590.8,45300,24838019
CPa/bl/f and MB Peduncle Closest Point,31171.4,24004.6,59000,24838065
CPa/bl/f and MB Peduncle Closest Point,72701.6,29495.5,65200,24838101
TRc/DMT Tracts Crossing Point,44304.2,57691.6,60200,24839308
TRc/DMT Tracts Crossing Point,63729.8,61567.6,60600,24839313
SNR1,35598.4,71022,152950,25418866
SNR1,76680.2,81038.8,152200,25418867
SNR2,33523.6,76756.2,119650,25421340
SNR2,77396.5,83816.6,119000,25421341
SNR3,35949.9,74642.5,133900,25421342
SNR3,78608.7,81745.6,135050,25421343
SNR4,32597.3,89093.4,79000,25421334
SNR4,73661.6,95947.7,76850,25421335
SNR5,38607.4,73714.9,165700,25422497
SNR5,75234.3,81689.2,165850,25422498
SNR6,39295.9,77450.9,179400,25422503
SNR6,74816.3,83394.8,179150,25422505
SNR7,38772.2,79869.9,192400,25422510
SNR7,73684.5,85089.6,192650,25422511
SNR8,38012.7,82386.5,207500,25422516
SNR8,70303.8,86449.2,210800,25422517
SNR9,44517.8,85433.1,226250,25422522
SNR9,64656.4,87174.5,222000,25422537
SNR10,33318.4,84755.2,93600,25421336
SNR10,71884.6,91063.6,91050,25421337
SNR11,33155,80210.4,106950,25421338
SNR11,75191.6,87180.6,106450,25421339
NHO-d1,54754.2,74221.6,207700,25417727
NHO-d1,56551.6,72716.8,196050,25417730
NHO-d2,57448.4,74419.2,185450,25417736
NHO-d2,58238.8,71683.2,173650,25417738
NHO-d3,57266,71896,145050,25417746
NHO-d3,58117.2,71987.2,159400,25417742
NHO-d4,55776.4,73568,118100,25417754
NHO-d4,56810,73416,131750,25417750
NHO-d5,55350.8,74236.8,103750,25417758
NHO-d5,56384.4,72108.8,90250,25417762
Nerve-Split6,23766.1,95842.2,67700,25418763
Nerve-Split6,80396.6,105838,58550,25418776
Nerve-Split7,22733.5,69543.8,116300,25417866
Nerve-Split7,86636.2,78324.6,115850,25419432
Nerve-Split8,28393.6,65998.4,134050,25419440
Nerve-Split8,87259.4,75202,139100,25419441
Nerve-Split9,30954.8,65151,154750,25417844
Nerve-Split9,84949,75536.4,155250,25417846
Nerve-Split10,19352.6,84106.2,91050,25417885
Nerve-Split10,87449.4,89695.6,91950,25419415
Nerve-Split11,19007.6,78774,104400,25417870
Nerve-Split11,85127.6,86222,106150,25417878
Nerve-Split12,33592,66188.4,172950,25419455
Nerve-Split12,84800.8,76193.8,176550,25419463
Nerve-Split13,33946.2,70385.1,195250,25419469
Nerve-Split13,80176.4,78053.2,194200,25419476
Nerve-Split14,36188.2,72330.7,203050,25419483
Nerve-Split14,76301,79063.3,210000,25419490
Nerve-Split15,36933,75112.3,218750,25419502
Nerve-Split15,70479.4,81601.7,222600,25419508
Nerve-Split16,41751.4,82636.3,234500,25419515
Nerve-Split16,63659.5,83430.7,230600,25419522
ISNR-a1,38448.4,65158.6,114550,25421347
ISNR-a1,75658,72557.2,116000,25421348
ISNR-a2,39845.5,63851.4,128900,25422489
ISNR-a2,74761.2,70938.4,129850,25422490
ISNR-a3,29269,69980.8,81650,25421357
ISNR-a3,82167.4,75612.4,79150,25421358
ISNR-a4,28690,74586.4,91900,25422478
ISNR-a4,81308.6,80727.6,89550,25422479
ISNR-a5,31745.2,69806,103650,25422484
ISNR-a5,78403.5,78863.3,104800,25422486
ISNR-a6,41959.6,62561.3,144650,25422491
ISNR-a6,73678.2,68239.5,143900,25422492
ISNR-a7,46004.7,61941.9,157950,25422495
ISNR-a7,72108.8,67180.2,158300,25422496
ISNR-a8,46177.6,63978.7,171450,25422501
ISNR-a8,70874,68264.4,171400,25422502
ISNR-a9,46714.2,66706.7,186450,25422508
ISNR-a9,69886.6,69700.1,185400,25422509
ISNR-a10,44328.3,69114.4,202750,25422514
ISNR-a10,67590.6,73301.2,200500,25422515
ISNR-a11,45843.2,72625.6,217250,25422535
ISNR-a11,63629.1,74797.1,215850,25422536
ISNR-p1,33067.6,73820.7,123150,25421344
ISNR-p1,80144.8,78933.6,123250,25421346
ISNR-p2,31494.4,82961.6,97550,25422480
ISNR-p2,75773.9,90090.4,95950,25422481
ISNR-p3,31954.2,78325.6,111450,25422487
ISNR-p3,79017.2,84538.6,110300,25422488
ISNR-p4,35598.4,71022,152950,25422493
ISNR-p4,75566.8,82281.4,147250,25422494
ISNR-p5,37498.4,71208.2,161750,25422499
ISNR-p5,76805.6,78945,162850,25422500
ISNR-p6,39219.8,73093,175400,25422506
ISNR-p6,76239.4,79214.8,176150,25422507
ISNR-p7,38992.6,75659.5,190850,25422512
ISNR-p7,75172.2,79559.3,190650,25422513
ISNR-p8,38102.6,78131.8,206750,25422518
ISNR-p8,71892.2,84108.4,208300,25422519
ISNR-p9,47591.2,83068,229250,25422528
ISNR-p9,59376.2,86785,224800,25422538
NHO-v1,55016.4,84998.4,145250,25417748
NHO-v1,55867.6,85606.4,158650,25417744
NHO-v2,55290,87825.6,171800,25417740
NHO-v2,55472.4,89528,182000,25417734
NHO-v3,53561,94118.4,203700,25417725
NHO-v3,54940.4,92416,193500,25417732
NHO-v4,54286.8,87339.2,119800,25417756
NHO-v4,55138,85728,131600,25417752
NHO-v5,53587.6,86913.6,90500,25417764
NHO-v5,53678.8,87764.8,104000,25417760
